iter	Accuracy	Logloss
0	1	0.6034960266
1	1	0.531880723
2	1	0.4723499977
3	1	0.4209632492
4	1	0.3743397363
5	1	0.3359231701
6	1	0.3028545695
7	1	0.2735064572
8	1	0.2466576403
9	1	0.2224016149
10	1	0.1998325623
11	1	0.1819254182
12	1	0.1639740627
13	1	0.1488058955
14	1	0.1357097541
15	1	0.1236858199
16	1	0.1127790145
17	1	0.1030050426
18	1	0.09367876538
19	1	0.08593078447
20	1	0.07889943757
21	1	0.0729685371
22	1	0.0677866055
23	1	0.06246562297
24	1	0.0583115184
25	1	0.05452213897
26	1	0.05070292279
27	1	0.04698123988
28	1	0.04387750188
29	1	0.04068923013
30	1	0.03741818874
31	1	0.03498473045
32	1	0.03276943687
33	1	0.03093990351
34	1	0.02917431395
35	1	0.02751184587
36	1	0.02619920277
37	1	0.02472812106
38	1	0.0234421103
39	1	0.02210116184
40	1	0.02109349106
41	1	0.02002164596
42	1	0.0191973343
43	1	0.01832652782
44	1	0.01711082501
45	1	0.0162426019
46	1	0.01530537811
47	1	0.01437046455
48	1	0.01375889381
49	1	0.0131725355
50	1	0.01275649766
51	1	0.01233660619
52	1	0.01194367777
53	1	0.01159107797
54	1	0.01125666754
55	1	0.01093797236
56	1	0.01057910554
57	1	0.0102169882
58	1	0.00985985229
59	1	0.009587908213
60	1	0.009348712825
61	1	0.009018896513
62	1	0.008729746928
63	1	0.008485098222
64	1	0.008253121984
65	1	0.008056591074
66	1	0.007887898088
67	1	0.007662583564
68	1	0.007498308656
69	1	0.007333810168
70	1	0.007145999138
71	1	0.006995127055
72	1	0.006817269035
73	1	0.006695634528
74	1	0.006569372876
75	1	0.006382792928
76	1	0.006260299355
77	1	0.006107922773
78	1	0.006009480564
79	1	0.005891248336
80	1	0.005785762688
81	1	0.005697199847
82	1	0.005584813942
83	1	0.005460831095
84	1	0.005369542283
85	1	0.005287656533
86	1	0.00520975085
87	1	0.00512943741
88	1	0.005056179944
89	1	0.004976176312
90	1	0.00490804019
91	1	0.004841382373
92	1	0.004776845688
93	1	0.004712612708
94	1	0.004652055551
95	1	0.004593749033
96	1	0.004534985786
97	1	0.004477937124
98	1	0.00442250134
99	1	0.004368491208
